1,AVSAR SILK MILLS,"3049 TO 3055, 10th FLOOR ANNAPURNA TEXTILE MARKET",24ABOFA1327P1Z7,
2,RINKU TEXTILE,"2106, UPPER GROUND, RAGHUKUL TEXTILE MARKET",24FKJPS2602J1Z1,
3,HARI OM FASHION,G-2221 TO 2223 RRTM NEAR - RKLP SAROLI,24AGWPC6977G1ZV,
4,SHREE GANESH SILK MILLS ,3012- SOMESHWAR MARKET,24AEJPJ3195G1ZS,
5,NAVYA TEXTILES,"512, ASHOKA TOWER",24DXAPS5139A1ZR,
6,SHUBHAM SAREES,"G-15, SAI DARSHAN MARKET, ",24AFMPJ3614A2ZZ,
7,BHAVANI CREATION,"214, ASHOKA TOWER",24CLZPD0685G1ZT,
8,SHIVA CREATION,"183, SHREE MAHAVEER TEXTILE MARKET",24AAIPT022M1ZD,
9,ANJANI CREATION,"UG-1, RAJ MAHAL AC MALL, SITA NAGAR",24CXAPK5667A1ZR,
10,VALENTINE NX,"3013, SOMESHWAR MARKET",,
11,OSWAL SONS,"568, MILLENNIUM MARKET-2",2411FF02213G1ZS,
12,NISHITA PRINTS,"AA-23-24, RRTM SAROLI",,
13,SHREE SIDDHI SAREES,"H-1446, GROUND FLOOR, MILLENIUM MARKET",24ADKFS6158C1Z1,
14,SHIV CREATION,"250, ANMOL MARKET",24EDZPK5052A1ZI,
15,NIRAJ SILK MILLS,"F-11382, RKTM",24AEWPJ7941M1ZP,
16,NAMO SIDDHANAM TEXTILES,"C-3190, RKTM",24ADMPJ8706H1ZF,
17,KESHAV ENTERPRISE,U - 8115 RKTM,24AZBPK6866C1ZH,
18,B.N TEXTILES,"333, MILLENNUM MARKET-2",24ADQPC8025Q1Z3,
19,JAY LAXMI PRINT,"G -1 VENTURA TEXTILE HUB, NEAR SAI KHATI MARKET",24AXXPK6730F1Z6,
20,SHREE MEHNDIPUR SILK MILLS,"3490, RAGHUKUL MARKET",24AEFPA1080D1ZC,
21,SIMRAN CREATION,"G-2, KUBERJI TEXTILES PARK-2",24ABVPK6170D1ZJ,
22,CHANDRA TEX,"BLOCK NO. 10/1, KHATODRA IND. CO, B/H SUB JAIL, KHATODRA",,
23,SUDARSHAN SILK MILLS,"3001 TO 3004, JAY SHREE RAM MARKET",24ACRPM0848B1ZQ,
24,REAL CHOICE,"538, SILK CITY MARKET",,
25,UTSAV SAREES,"26, MILLENNIUM MARKET -2",,
26,KALP FASHION,O - 28 BOMBAY MARKET,,
27,AMBEY SYNTHETICS,"342-343, 3RD FLOOR, MILLENNIUM MARKET-2",,
28,MAMTA LAXMI SAREES PVT. LTD ,L-1490 MILLENNIUM MARKET,24AAGCM4248P1Z1,
29,ASHISH CREATIONS,828- MILLENNIUM MARKET -2,,
30,MANJU CREATION,"2113, ABHISHEK MARKET",,
31,ORANGE KNITT FAB,"2004 TO 2011, GAUTAM MARKET",24AWJPM1947M1Z4,
32,SHREE PUSHPMALA SILK MILLS,"4011, 3rd FLOOR GOLWALA",,
